symbol,name
000001,平安银行
000006,深振业Ａ
000009,中国宝安
000014,沙河股份
000017,深中华A
000021,深科技
000025,特  力Ａ
000026,飞亚达
000027,深圳能源
000028,国药一致
000029,深深房Ａ
000030,富奥股份
000032,深桑达Ａ
000034,神州数码
000035,中国天楹
000036,华联控股
000037,深南电A
000039,中集集团
000045,深纺织Ａ
000048,京基智农
000049,德赛电池
000050,深天马Ａ
000058,深 赛 格
000059,华锦股份
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,中国长城
000070,特发信息
000089,深圳机场
000096,广聚能源
000099,中信海直
000151,中成股份
000155,川能动力
000156,华数传媒
000157,中联重科
000158,常山北明
000159,国际实业
000166,申万宏源
000301,东方盛虹
000338,潍柴动力
000400,许继电气
000401,金隅冀东
000403,派林生物
000407,胜利股份
000409,云鼎科技
000410,沈阳机床
000411,英特集团
000417,合百集团
000421,南京公用
000422,湖北宜化
000425,徐工机械
000501,武商集团
000503,国新健康
000505,京粮控股
000506,招金黄金
000510,新金路
000513,丽珠集团
000514,渝 开 发
000519,中兵红箭
000524,岭南控股
000525,红太阳
000526,学大教育
000528,柳    工
000530,冰山冷热
000531,穗恒运Ａ
000532,华金资本
000533,顺钠股份
000534,万泽股份
000537,绿发电力
000543,皖能电力
000546,金圆股份
000547,航天发展
000551,创元科技
000554,泰山石油
000555,神州信息
000558,天府文旅
000559,万向钱潮
000561,烽火电子
000565,渝三峡Ａ
000566,海南海药
000567,海德股份
000571,新大洲A
000572,海马汽车
000576,甘化科工
000581,威孚高科
000582,北部湾港
000586,汇源通信
000589,贵州轮胎
000591,太阳能
000592,平潭发展
000593,德龙汇能
000598,兴蓉环境
000599,青岛双星
000600,建投能源
000601,韶能股份
000607,华媒控股
000610,西安旅游
000612,焦作万方
000617,中油资本
000623,吉林敖东
000625,长安汽车
000630,铜陵有色
000632,三木集团
000633,合金投资
000636,风华高科
000650,仁和药业
000651,格力电器
000655,金岭矿业
000663,永安林业
000665,湖北广电
000670,盈方微
000672,上峰水泥
000676,智度股份
000678,襄阳轴承
000680,山推股份
000681,视觉中国
000682,东方电子
000683,博源化工
000685,中山公用
000686,东北证券
000688,国城矿业
000695,滨海能源
000700,模塑科技
000701,厦门信达
000703,恒逸石化
000708,中信特钢
000710,贝瑞基因
000712,锦龙股份
000713,国投丰乐
000715,中兴商业
000716,黑芝麻
000719,中原传媒
000721,西安饮食
000722,湖南发展
000723,美锦能源
000726,鲁  泰Ａ
000728,国元证券
000729,燕京啤酒
000735,罗 牛 山
000737,北方铜业
000738,航发控制
000739,普洛药业
000751,锌业股份
000753,漳州发展
000756,新华制药
000758,中色股份
000759,中百集团
000762,西藏矿业
000766,通化金马
000768,中航西飞
000776,广发证券
000777,中核科技
000778,新兴铸管
000782,恒申新材
000783,长江证券
000786,北新建材
000788,北大医药
000791,甘肃能源
000792,盐湖股份
000795,英洛华
000796,凯撒旅业
000798,中水渔业
000800,一汽解放
000801,四川九洲
000803,山高环能
000807,云铝股份
000810,创维数字
000811,冰轮环境
000815,美利云
000818,航锦科技
000819,岳阳兴长
000822,山东海化
000823,超声电子
